"1. Organisation
Name","2. Purpose 
of Spend","3. Directorate /  
Service 
Responsible","4. Start
Date","5. End
Date",6.Amount,"7. Supplier /
Beneficiary
Name","8. Registered
Number"
Rochdale Borough Council,Adult Care and Prevention programme extension.,ADULT CARE LCO FUNCTIONS,01/04/2023,31/03/2024,"£5,000.00",ACTION TOGETHER,1165512
Rochdale Borough Council,"Adult Care and Prevention ProgrammeFAO Adam DuerdenAmount - £255,000",ADULT CARE LCO FUNCTIONS,01/04/2023,31/03/2024,"£255,000.00",ACTION TOGETHER,1165512
Rochdale Borough Council,INVOICE No. 63    Annual Grant For Rochdale Borough Shopmobility 2023/2024 1st Quarter    April 2023 to June 2024,ECONOMY DIRECTORATE,01/04/2023,31/03/2024,"£8,900.00",ROCHDALE BOROUGH SHOPMOBILITY,1047613
Rochdale Borough Council,INVOICE No. 66    Annual Grant For Rochdale Borough Shopmobility 2023/2024 4th Quarter    Jan 2024 - Mar 2024,ECONOMY DIRECTORATE,01/04/2023,31/03/2024,"£10,900.00",ROCHDALE BOROUGH SHOPMOBILITY,1047613
Rochdale Borough Council,INVOICE No. 64    Annual Grant For Rochdale Borough Shopmobility 2023/2024 2nd Quarter    Jul 2023 to Sept 2023,ECONOMY DIRECTORATE,01/04/2023,31/03/2024,"£8,900.00",ROCHDALE BOROUGH SHOPMOBILITY,1047613
Rochdale Borough Council,INVOICE No. 65    Annual Grant For Rochdale Borough Shopmobility 2023/2024 3rd Quarter    Oct 2023 - Dec 2023,ECONOMY DIRECTORATE,01/04/2023,31/03/2024,"£8,900.00",ROCHDALE BOROUGH SHOPMOBILITY,1047613
Rochdale Borough Council,Early Years Inclusion Programme SLA 2023/24,EARLY HELP AND SCHOOLS,01/04/2023,31/03/2024,"£12,500.00",BARNARDOS,UNKNOWN
Rochdale Borough Council,Early Years Inclusion Programme SLA 2023/24,EARLY HELP AND SCHOOLS,01/04/2023,31/03/2024,"£12,500.00",BARNARDOS,UNKNOWN
Rochdale Borough Council,Early Years Inclusion Programme SLA 2023/24,EARLY HELP AND SCHOOLS,01/04/2023,31/03/2024,"£12,500.00",BARNARDOS,UNKNOWN
Rochdale Borough Council,Early Years Inclusion Programme SLA 2023/24,EARLY HELP AND SCHOOLS,01/04/2023,31/03/2024,"£12,500.00",BARNARDOS,UNKNOWN
