ObjectID,rok,škola,žáci - celkem,třídy - celkem,1. st - žáci,1. st - třídy,2. st - žáci,2. st - třídy
1,2022,"ZŠ Jihlava, Demlova 32",533,25,267,13,266,12
2,2022,"ZŠ Jihlava, E. Rošického",705,27,239,9,466,18
3,2022,"ZŠ Jihlava, Jarní",208,9,208,9,,
4,2022,"ZŠ Jihlava, Havlíčkova ",350,16,220,10,130,6
5,2022,"ZŠ Jihlava, Jungmannova",117,8,59,3,,
6,2022,"ZŠ Jihlava, Kollárova",639,26,352,14,287,12
7,2022,"ZŠ Jihlava, Křížová",304,17,153,9,151,8
8,2022,"ZŠ Jihlava, Nad Plovárnou",442,18,236,10,206,8
9,2022,"ZŠ Jihlava, O. Březiny",733,28,412,16,321,12
10,2022,"ZŠ Jihlava, Seifertova",897,36,481,20,416,16
11,2022,"ZŠ Jihlava, T.G.Masaryka",441,18,239,10,202,8
12,2022,"ZŠ spec., Březinova 31",74,10,43,7,31,3
13,2023,"ZŠ Jihlava, Demlova 32",554,24,278,12,276,12
14,2023,"ZŠ Jihlava, E. Rošického",718,27,231,9,487,18
15,2023,"ZŠ Jihlava, Jarní",203,9,203,9,,
16,2023,"ZŠ Jihlava, Havlíčkova ",356,16,210,9,146,7
17,2023,"ZŠ Jihlava, Jungmannova",144,9,96,5,,
18,2023,"ZŠ Jihlava, Kollárova",678,26,367,14,311,12
19,2023,"ZŠ Jihlava, Křížová",340,16,179,9,161,7
20,2023,"ZŠ Jihlava, Nad Plovárnou",456,18,241,10,215,8
21,2023,"ZŠ Jihlava, O. Březiny",773,28,445,16,328,12
22,2023,"ZŠ Jihlava, Seifertova",919,36,507,20,412,16
23,2023,"ZŠ Jihlava, T.G.Masaryka",474,18,265,10,209,8
24,2023,"ZŠ spec., Březinova 31",73,11,49,8,24,3
25,2024,"ZŠ Jihlava, Demlova 32",531,23,264,11,267,12
26,2024,"ZŠ Jihlava, E. Rošického",682,26,222,9,460,17
27,2024,"ZŠ Jihlava, Jarní",217,9,217,9,,
28,2024,"ZŠ Jihlava, Havlíčkova ",353,16,194,8,159,8
29,2024,"ZŠ Jihlava, Jungmannova",125,7,108,6,17,1
30,2024,"ZŠ Jihlava, Kollárova",641,26,350,14,291,12
31,2024,"ZŠ Jihlava, Křížová",344,16,177,9,167,7
32,2024,"ZŠ Jihlava, Nad Plovárnou",449,18,246,10,203,8
33,2024,"ZŠ Jihlava, O. Březiny",767,28,445,16,322,12
34,2024,"ZŠ Jihlava, Seifertova",903,36,503,20,400,16
35,2024,"ZŠ Jihlava, T.G.Masaryka",466,18,254,10,212,8
36,2024,"ZŠ spec., Březinova 31",76,11,48,8,28,3
37,2025,"ZŠ Jihlava, Demlova 32",528,22,264,11,264,11
38,2025,"ZŠ Jihlava, E. Rošického",660,26,246,10,414,16
39,2025,"ZŠ Jihlava, Jarní",224,9,224,9,,
40,2025,"ZŠ Jihlava, Havlíčkova ",353,16,191,8,162,8
41,2025,"ZŠ Jihlava, Jungmannova",171,9,139,7,32,2
42,2025,"ZŠ Jihlava, Kollárova",666,27,369,15,297,12
43,2025,"ZŠ Jihlava, Křížová",337,16,179,9,158,7
44,2025,"ZŠ Jihlava, Nad Plovárnou",432,18,243,10,189,8
45,2025,"ZŠ Jihlava, O. Březiny",771,28,427,15,344,13
46,2025,"ZŠ Jihlava, Seifertova",897,36,500,20,397,16
47,2025,"ZŠ Jihlava, T.G.Masaryka",466,18,252,10,214,8
48,2025,"ZŠ spec., Březinova 31",72,11,38,6,34,5
