Odbor,Odbor SML,Oddělení,D-P,oPar,Pol,Nas,Zdr,ÚZ,ORJ,ORG,Typ položky,Organizace,Název ORG,Skutečnost 2018,Skutečnost 2019,Schválený 2020,Upravený k 30.9.2020,Skutečnost k 30.9.2020,Návrh 2021,fond,Název fondu
1,Odbor kontroly a interního auditu,10000,B,6171,5136,,,,1,20001000000,"Knihy, učební pomůcky a tisk ",SML,"Knihy, učební pomůcky a tisk",6572,5375,9000,9000,2555,8000,0,bez fondu
1,Odbor kontroly a interního auditu,10000,B,6171,5166,,,,1,20005000000,"Konzultační, poradenské a právní služby",SML,"Konzultační, poradenské a právní služby",900,900,1000,1500,1500,1500,0,bez fondu
1,Odbor kontroly a interního auditu,10000,B,6171,5173,,,,1,20002000000,Cestovné (tuzemské i zahraniční),SML,Cestovné (tuzemské i zahraniční),12577,14220,20000,17500,6645,13500,0,bez fondu
1,Odbor kontroly a interního auditu,10000,B,6171,5179,,,,1,20031000000,Ostatní nákupy j.n,SML,Poskytnuté neinvestiční příspěvky a náhrady,,5000,5000,5000,5000,5000,0,bez fondu
1,Odbor kontroly a interního auditu,10000,B,6171,5192,,,,1,20031000000,Poskytnuté náhrady,SML,Poskytnuté neinvestiční příspěvky a náhrady,5000,,,,,,0,bez fondu
2,Kancelář primátora ,20000,B,2143,5169,,,,1,20038000000,Nákup ostatních služeb ,SML,Služby - výstavy a výzdoby,33704,30478,40000,20000,,30000,0,bez fondu
2,Kancelář primátora ,20000,B,3113,5331,,,,1,20503000000,Neinvestiční příspěvky zřízeným příspěvkovým organ,SML,Neinvpříspěvky zřízeným PO,10000,,,,,,0,bez fondu
2,Kancelář primátora ,20000,B,3311,5221,,,,1,20350000000,Neinvestiční transf.obecně prospěšným společnostem,SML,"Neinvtransffundacím,ústavům a OPS",10000,10000,,,,,0,bez fondu
2,Kancelář primátora ,20000,B,3311,5222,,,,1,20025000000,Neinvestiční transfery spolkům,SML,Neinvestiční transfery spolkům,,,200000,29900,,,0,bez fondu
2,Kancelář primátora ,20000,B,3319,5169,,,,1,21202000000,Nákup ostatních služeb ,SML,Ples primátora,295349,,200000,0,,,0,bez fondu
2,Kancelář primátora ,20000,B,3319,5213,,,,1,20506000000,Neinv.transfery nefin.podnik.subjektům-práv.osobám,SML,Neinvestiční transfery nefin podnikat subjektům,10000,6000,,,,,0,bez fondu
2,Kancelář primátora ,20000,B,3319,5221,,,,1,20350000000,Neinvestiční transf.obecně prospěšným společnostem,SML,"Neinvtransffundacím,ústavům a OPS",,,0,20000,20000,,0,bez fondu
2,Kancelář primátora ,20000,B,3319,5222,,,,1,20025000000,Neinvestiční transfery spolkům,SML,Neinvestiční transfery spolkům,5000,,0,20000,20000,,0,bez fondu
2,Kancelář primátora ,20000,B,3319,5229,,,,1,20510000000,Ostatní neinv.transfery nezisk.a podob.organizacím,SML,Ostatní neinv transfery nezisk org,5000,5000,0,10000,10000,,0,bez fondu
2,Kancelář primátora ,20000,B,3319,5492,,,,1,21098000000,Dary obyvatelstvu,SML,Dary obyvatelstvu,,10000,0,10000,10000,,0,bez fondu
2,Kancelář primátora ,20000,B,3349,5139,,,,1,21063000000,Nákup materiálu j.n,SML,Liberecký zpravodaj,867244,1005106,980000,980000,608849,1050000,0,bez fondu
2,Kancelář primátora ,20000,B,3349,5169,,,,1,20304000000,Nákup ostatních služeb ,SML,Liberecký zpravodaj – roznáška,454765,546092,600000,600000,397225,560000,0,bez fondu
2,Kancelář primátora ,20000,B,3349,5169,,,,1,21218000000,Nákup ostatních služeb ,SML,Liberecký zpravodaj – korektury,23520,21100,23000,23000,12180,30000,0,bez fondu
2,Kancelář primátora ,20000,B,3399,5212,,,,1,20505000000,Neinv.transfery nefin.podnik.subjektům-fyz.osobám,SML,Neinvtransfpodniksubj-FO,,5000,,,,,0,bez fondu
2,Kancelář primátora ,20000,B,3419,5221,,,,1,20350000000,Neinvestiční transf.obecně prospěšným společnostem,SML,"Neinvtransffundacím,ústavům a OPS",10000,5000,0,15000,15000,,0,bez fondu
2,Kancelář primátora ,20000,B,3419,5222,,,,1,20025000000,Neinvestiční transfery spolkům,SML,Neinvestiční transfery spolkům,15000,10000,0,10000,10000,200000,0,bez fondu
2,Kancelář primátora ,20000,B,3419,5229,,,,1,20510000000,Ostatní neinv.transfery nezisk.a podob.organizacím,SML,Ostatní neinv transfery nezisk org,10000,,,,,,0,bez fondu
2,Kancelář primátora ,20000,B,3419,5339,,,,1,20509000000,Neinvestiční transfery cizím příspěvkovým organ.,SML,Neinv transfery  cizím PO,5000,5000,0,5000,5000,,0,bez fondu
2,Kancelář primátora ,20000,B,3419,5492,,,,1,21098000000,Dary obyvatelstvu,SML,Dary obyvatelstvu,,35000,,,,,0,bez fondu
2,Kancelář primátora ,20000,B,3419,5492,,,,1,21237000000,Dary obyvatelstvu,SML,Finanční dar,,,0,20000,20000,,0,bez fondu
2,Kancelář primátora ,20000,B,3429,5222,,,,1,20025000000,Neinvestiční transfery spolkům,SML,Neinvestiční transfery spolkům,35000,24000,0,5000,5000,,0,bez fondu
2,Kancelář primátora ,20000,B,3900,5222,,,,1,20025000000,Neinvestiční transfery spolkům,SML,Neinvestiční transfery spolkům,,20000,0,40000,40000,,0,bez fondu
2,Kancelář primátora ,20000,B,3900,5492,,,,1,21098000000,Dary obyvatelstvu,SML,Dary obyvatelstvu,,,0,10100,10100,,0,bez fondu
2,Kancelář primátora ,20000,B,4341,5492,,,,1,21098000000,Dary obyvatelstvu,SML,Dary obyvatelstvu,,20000,,,,,0,bez fondu
2,Kancelář primátora ,20000,B,4349,5221,,,,1,20350000000,Neinvestiční transf.obecně prospěšným společnostem,SML,"Neinvtransffundacím,ústavům a OPS",,,0,5000,5000,,0,bez fondu
2,Kancelář primátora ,20000,B,4378,5221,,,,1,20350000000,Neinvestiční transf.obecně prospěšným společnostem,SML,"Neinvtransffundacím,ústavům a OPS",52395,,,,,,0,bez fondu
2,Kancelář primátora ,20000,B,5512,5222,,,,1,20025000000,Neinvestiční transfery spolkům,SML,Neinvestiční transfery spolkům,10000,,,,,,0,bez fondu
2,Kancelář primátora ,20000,B,6112,5173,,,,1,20002000000,Cestovné (tuzemské i zahraniční),SML,Cestovné (tuzemské i zahraniční),,1538,10000,10000,,10000,0,bez fondu
2,Kancelář primátora ,20000,B,6171,5041,,,,1,20887000000,Povinné pojistné na úrazové pojištění,SML,Autorská odměna,27461,,30000,30000,,30000,0,bez fondu
2,Kancelář primátora ,20000,B,6171,5137,,,,1,20003000000,Drobný hmotný dlouhodobý majetek,SML,Drobný hmotný dlouhodobý majetek,,7865,,,,,0,bez fondu
2,Kancelář primátora ,20000,B,6171,5139,,,,1,20004000000,Nákup materiálu j.n,SML,Nákup materiálu jinde nezařazený,254566,202947,190000,290000,191409,350000,0,bez fondu
2,Kancelář primátora ,20000,B,6171,5139,,,,1,20039000000,Nákup materiálu j.n,SML,Partnerská města,,,,,,8000,0,bez fondu
