Rok(y) podpory,Název žadatele,Název projektu,Oblast podpory,Poskytovatel dotace,Přidělená částka [Kč],Název výzvy;;;;
2024,1. SC Vítkovice z. s.,Semifinále soutěže IFF Champions cup 2025,Oblast sportu,Magistrát města Ostravy,200000,Mimořádná dotace;;;;
2024,Ing. Miroslav Eliáš  ,Dětské hřiště Viktorka,Oblast revitalizace veřejného prostoru,Magistrát města Ostravy,500000,Mimořádná dotace;;;;
"2024,""MOVE Ostrava, z.s."",Cirkusové noci v Ostravě 2024 a tvorbs site-specific projektu,Oblast kultura,Magistrát města Ostravy,0,Mimořádná dotace";;;;
2024,Mgr. Zuzana Šenkeříková  ,Babiččina zahrádka,Oblast revitalizace veřejného prostoru,Magistrát města Ostravy,64000,Mimořádná dotace;;;;
2024,NOCHI FILM s.r.o.,RAKLO,Oblast kultura,Magistrát města Ostravy,175000,Mimořádná dotace;;;;
"2024,""Asociace TOM ČR, TOM 19061 Krokodýl"",Mistrovství světa 2024 Kapské Město,Oblast sportu,Magistrát města Ostravy,50000,Mimořádná dotace";;;;
2024,Ostravská univerzita,Nový excelentní vědec na OU: podpora a financování příchodu do MSK,Oblast školství,Magistrát města Ostravy,6000000,Mimořádná dotace;;;;
2024,Sportovní basketbalová škola Ostrava z.s.,Účast ženského týmu SBŠ Ostrava v mezinárodních basketbalových soutěžích European Woman Basketball League a Central EuropeanWoman League.,Oblast sportu,Magistrát města Ostravy,120000,Mimořádná dotace;;;;
2024,Ostravská univerzita,Podpora příchodu a financování nového excelentního vědce na OU,Oblast školství,Magistrát města Ostravy,6000000,Mimořádná dotace;;;;
"2024,Ostravská univerzita,""Koleje Jana Opletala, Kranichova 1433/8"",Oblast školství,Magistrát města Ostravy,90000000,Mimořádná dotace";;;;
"2024,""FC Baník Ostrava, a. s."",Účast FC Baník Ostrava v kvalifikaci Konferenční lize UEFA,Oblast sportu,Magistrát města Ostravy,1000000,Mimořádná dotace";;;;
2024,Tělovýchovná jednota Ostrava,Podpora volejbalistek TJ Ostrava v evropském poháru,Oblast sportu,Magistrát města Ostravy,200000,Mimořádná dotace;;;;
2024,1. SC Vítkovice z. s.,Účast v soutěži IFF Champions cup 2025,Oblast sportu,Magistrát města Ostravy,250000,Mimořádná dotace;;;;
"2024,""Ostrava Cricket Club, z. s."",Kriketový turnaj v rámci České kriketové ligy,Oblast sportu,Magistrát města Ostravy,0,Mimořádná dotace";;;;
"2024,""Škola taekwon-do ITF Ostrava, z.s."",Ostrava CUP 2024,Oblast sportu,Magistrát města Ostravy,40000,Mimořádná dotace";;;;
"2024,""TAJV, z. s."",Sportovní dny mládeže v Ostravě  postupová kola 2024,Oblast sportu,Magistrát města Ostravy,50000,Mimořádná dotace";;;;
2024,Arrows Ostrava z.s.,Pořádání  finálových turnajů a mistrovství ČR v Arrows parku Ostrava,Oblast sportu,Magistrát města Ostravy,200000,Mimořádná dotace;;;;
2024,  Irena Svobodová  ,Rozkvetlá knihovna,Oblast revitalizace veřejného prostoru,Magistrát města Ostravy,307000,Mimořádná dotace;;;;
2024,EUROFILMFEST s.r.o.,The Luděk Golat Singing Competition,Oblast kultura,Magistrát města Ostravy,0,Mimořádná dotace;;;;
2024,Spolek Senioři Martinov ,Posezení pod borovicemi,Oblast revitalizace veřejného prostoru,Magistrát města Ostravy,490000,Mimořádná dotace;;;;
"2024,""Renarkon, o. p. s."",Dofinancováníé Terapeutické komunity Renarkon ,Oblast protidrogové prevence,Magistrát města Ostravy,170000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2024 včetně Podmínek pro jednotlivé oblasti";;;;
"2024,""Renarkon, o. p. s."",Dofinancování Doléčovacího centra,Oblast protidrogové prevence,Magistrát města Ostravy,700000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2024 včetně Podmínek pro jednotlivé oblasti";;;;
"2024,""Centrum sociálních služeb Ostrava, o.p.s."",Krizové centrum pro děti a rodinu,Oblast sociální péče,Magistrát města Ostravy,0,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2024 včetně Podmínek pro jednotlivé oblasti";;;;
"2024,""Centrum sociálních služeb Ostrava, o.p.s."",Sociálně aktivizační služby pro rodiny s dětmi,Oblast sociální péče,Magistrát města Ostravy,0,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2024 včetně Podmínek pro jednotlivé oblasti";;;;
"2024,""Centrum sociálních služeb Ostrava, o.p.s."",Rodinná poradna,Oblast sociální péče,Magistrát města Ostravy,82000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2024 včetně Podmínek pro jednotlivé oblasti";;;;
"2024,""MENS SANA, z.ú."",Zaměstnávání lidí s duševním onemocněním v podpůrném prostředí,Oblast podpora osob s handicapem,Magistrát města Ostravy,0,Mimořádná dotace";;;;
"2024,""Armáda spásy v České republice, z. s."",""Armáda spásy, Terénní programy Adelante Ostrava (2024)"",Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace";;;;
"2024,""Armáda spásy v České republice, z. s."",""Armáda spásy,  Azylový dům pro ženy a matky s dětmi Adelante Ostrava (2024)"",Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace";;;;
"2024,""Armáda spásy v České republice, z. s."",""Armáda spásy, Nízkoprahové denní centrum Adelante Ostrava (2024)"",Oblast sociální péče,Magistrát města Ostravy,100000,Mimořádná dotace";;;;
"2024,""Armáda spásy v České republice, z. s."",""Armáda spásy, Adelante, Noclehárna Ostrava (2023 - 2026)"",Oblast sociální péče,Magistrát města Ostravy,150000,Mimořádná dotace";;;;
"2024,""Armáda spásy v České republice, z. s."",""Armáda spásy,  Azylový dům Adelante Ostrava (2024)"",Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace";;;;
2024,Na Výminku s.r.o.,Na Výminku,Oblast sociální péče,Magistrát města Ostravy,350000,Mimořádná dotace;;;;
"2024,""Armáda spásy v České republice, z. s."",""Armáda spásy, Sociálně aktivizační služby pro seniory Ostrava"",Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace";;;;
2024,Charita Ostrava,Charitní dům sv. Alžběty - zařízení pro přechodný pobyt seniorů,Oblast sociální péče,Magistrát města Ostravy,400000,Mimořádná dotace;;;;
2024,BOTUMY s.r.o.,Zaměstnávání lidí s duševním onemocněním v sociálním podniku BOTUMY,Oblast podpora osob s handicapem,Magistrát města Ostravy,150000,Mimořádná dotace;;;;
"2024,MIKASA z.s.,""Domov MIKASA - místo pro život osob s autismem, mentálním postižením a chováním náročným na péči"",Oblast sociální péče,Magistrát města Ostravy,155000,Mimořádná dotace";;;;
"2024,""Společnost pro ranou péči, pobočka Ostrava"",Raná péče pro rodiny s dětmi se zrakovým a kombinovaným postižením,Oblast sociální péče,Magistrát města Ostravy,50000,Mimořádná dotace";;;;
